Date-Time,Index,Signal,1m_pct_change,3m_pct_change,6m_pct_change,Return,3m_volatility,6m_volatility
2003-06-30,24.017407407407404,1,0.032118925973674495,0.14582817966568884,0.06120411736789544,0.032118925973674495,0.055614976643593154,0.14633205980631947
2003-07-31,25.458888888888886,0,0.06001819667833508,0.1417300601268976,0.1458982779602247,0.06001819667833508,0.04858124562050697,0.15092254815521183
2003-08-31,25.09037037037037,0,-0.014475043279651989,0.07822820671982678,0.18429425544561373,-0.014475043279651989,0.1303733874383119,0.11856346208668676
2003-09-30,23.970370370370368,1,-0.04463863958431746,-0.001958456058105962,0.143584125525674,-0.04463863958431746,0.18661264007551426,0.15116681598891546
2003-10-31,25.860740740740738,1,0.07886279357231141,0.015784343676806367,0.15975151978208157,0.07886279357231141,0.2230443826774206,0.16193149031272466
2003-11-30,26.547407407407405,1,0.026552474793767322,0.058071563533301784,0.14084260452975528,0.026552474793767322,0.2147423954828096,0.15924400775097702
2003-12-31,27.080888888888886,1,0.020095426769720204,0.12976514215080348,0.12755254676392136,0.020095426769720204,0.11163929703118013,0.15851095924393296
2004-01-31,27.16222222222222,1,0.003003347994485761,0.05032653528872588,0.0669052502945926,0.003003347994485761,0.0421519631583702,0.14480293166899474
2004-02-29,28.135555555555555,1,0.03583408328560922,0.059823097742682574,0.12136868209730767,0.03583408328560922,0.056880605579402235,0.14050352194772475
2004-03-31,28.618518518518517,1,0.017165574072611323,0.05677914177553123,0.19391223733003704,0.017165574072611323,0.057042774537701686,0.09066097221529845
2004-04-30,28.917777777777776,0,0.01045683965316413,0.06463225067495704,0.11821150320806595,0.01045683965316413,0.04555271337970823,0.0402115533229364
2004-05-31,28.909629629629627,0,-0.00028176951253877647,0.027512308137850994,0.08898127737939121,-0.00028176951253877647,0.03048719870708561,0.04544420997742605
2004-06-30,28.158148148148147,0,-0.025994158040381188,-0.01608645011000387,0.03977931683406655,-0.025994158040381188,0.0648863604076431,0.07105640287285872
2004-07-31,27.690370370370367,0,-0.01661251923658713,-0.04244473475242716,0.019444217186179058,-0.01661251923658713,0.045074060323007814,0.07852634636164058
2004-08-31,27.135925925925925,1,-0.0200230057246803,-0.06135338731167361,-0.03552905247084226,-0.0200230057246803,0.016449998462468838,0.060974524232909305
2004-09-30,27.705185185185183,1,0.02097806652381018,-0.01608639036131909,-0.031914067555325554,0.02097806652381018,0.07881334254326709,0.06456565295534779
2004-10-31,28.500185185185185,1,0.028694989572750185,0.029245358728799964,-0.014440687517610518,0.028694989572750185,0.0907092265722693,0.07879509697887058
2004-11-30,30.595555555555553,1,0.07352128966023597,0.1274925955750883,0.05831710566772563,0.07352128966023597,0.09828263710789208,0.13335763775699722
2004-12-31,32.38222222222222,0,0.05839628123184193,0.16881450189829406,0.15001249556078755,0.05839628123184193,0.07899784535936069,0.1319444157182499
2005-01-31,31.65111111111111,1,-0.022577545978588964,0.11055808604232586,0.14303675565780338,-0.022577545978588964,0.17900007142010632,0.13655721349849628
2005-02-28,32.30407407407407,0,0.020630017084415808,0.055842049196203725,0.19045409256554802,0.020630017084415808,0.1403562959514207,0.11630019915882503
2005-03-31,31.698148148148146,0,-0.018756950734341582,-0.02112498856253997,0.14412330891396175,-0.018756950734341582,0.0828592021180474,0.13562031702554278
2005-04-30,30.487777777777776,1,-0.03818426126073493,-0.036754897142455945,0.06973963781911752,-0.03818426126073493,0.10380629042120323,0.16003880696340766
